time,height
0.020001,1.5373227155999998
0.040001,1.5356689908
0.060001,1.5331831032
0.080001,1.532769672
0.1,1.531524078
0.12,1.5286247592
0.14,1.5265576032
0.16,1.5248985779999997
0.18,1.5240717155999999
0.2,1.5257307407999998
0.22,1.5265576032
0.24,1.5248985779999997
0.26,1.5224179908
0.28,1.5207589656
0.3,1.5195186719999998
0.32,1.5174462156
0.34,1.516205922
0.36,1.5149603280000001
0.38,1.5137200344
0.4,1.512893172
0.42,1.5104072844
0.44,1.5079213968
0.46,1.5058542408
0.48,1.5046086467999997
0.5,1.5050220779999999
0.52,1.5046086467999997
0.54,1.5050220779999999
0.56,1.506267672
0.58,1.5356689908
0.6,1.5638247155999998
0.62,1.558026078
0.64,1.5509871468
0.66,1.5468475344
0.68,1.5439482156
0.7,1.542707922
0.72,1.5406354655999999
0.74,1.5381495779999999
0.76,1.534836828
0.78,1.5311106467999998
0.8,1.528211328
0.82,1.526144172
0.84,1.5253120091999999
0.86,1.5253120091999999
0.88,1.5244851468
0.9,1.5219992592
0.92,1.5211723968000002
0.94,1.5219992592
0.96,1.5228314219999999
0.98,1.5211723968000002
1.0,1.5191052408
1.02,1.5178596467999999
1.04,1.5157924907999998
1.06,1.5145468968
1.08,1.5141334655999998
1.1,1.5124797408
1.12,1.5124797408
1.14,1.5116475779999998
1.16,1.508334828
1.18,1.5075079655999999
1.2,1.508334828
1.22,1.508334828
1.24,1.5066811032
1.26,1.506267672
1.28,1.5066811032
1.3,1.506267672
1.32,1.5066811032
1.34,1.5087482592
1.36,1.5095804219999998
1.38,1.5104072844
1.4,1.5104072844
1.42,1.5079213968
1.44,1.5050220779999999
1.46,1.502954922
1.48,1.501709328
1.5,1.5012958967999999
1.52,1.5008824656000002
1.54,1.5000556031999999
1.56,1.5000556031999999
1.58,1.5008824656000002
1.6,1.5012958967999999
1.62,1.5008824656000002
1.64,1.5000556031999999
1.66,1.4992287407999998
1.68,1.4992287407999998
1.7,1.5000556031999999
1.72,1.5008824656000002
1.74,1.5021227592
1.76,1.5025414907999999
1.78,1.502954922
1.8,1.5033683532000002
1.82,1.5012958967999999
1.84,1.5008824656000002
1.86,1.5021227592
1.88,1.5025414907999999
1.9,1.5012958967999999
1.92,1.5004690344
1.94,1.5012958967999999
1.96,1.5008824656000002
1.98,1.5008824656000002
2.0,1.5008824656000002
2.02,1.5008824656000002
2.04,1.5021227592
2.06,1.501709328
2.08,1.5004690344
2.1,1.5012958967999999
2.12,1.5008824656000002
2.14,1.5021227592
2.16,1.5033683532000002
2.18,1.5021227592
2.2,1.5008824656000002
2.22,1.5008824656000002
2.24,1.5012958967999999
2.26,1.5025414907999999
2.28,1.502954922
2.3,1.5008824656000002
2.32,1.4992287407999998
2.34,1.5008824656000002
2.36,1.5012958967999999
2.38,1.5004690344
2.4,1.5004690344
2.42,1.5004690344
2.44,1.5012958967999999
2.46,1.501709328
2.48,1.5004690344
2.5,1.4988100091999998
2.52,1.4979831468
2.54,1.4988100091999998
2.56,1.499642172
2.58,1.4979831468
2.6,1.4954972592
2.62,1.4930166719999998
2.64,1.491771078
2.66,1.4913576467999998
2.68,1.4934301032
2.7,1.4967428532
2.72,1.4992287407999998
2.74,1.4983965779999997
2.76,1.4959159908
2.78,1.4967428532
2.8,1.4983965779999997
2.82,1.4992287407999998
2.84,1.5008824656000002
2.86,1.5012958967999999
2.88,1.501709328
2.9,1.5037817843999999
2.92,1.5058542408
2.94,1.5070945343999997
2.96,1.5075079655999999
2.98,1.5075079655999999
3.0,1.508334828
3.02,1.508334828
3.04,1.506267672
3.06,1.5058542408
3.08,1.506267672
3.1,1.5058542408
3.12,1.506267672
3.14,1.5066811032
3.16,1.5070945343999997
3.18,1.5075079655999999
3.2,1.5075079655999999
3.22,1.506267672
3.24,1.5075079655999999
3.26,1.508334828
3.28,1.5054355092
3.3,1.5050220779999999
3.32,1.5054355092
3.34,1.5041952156
3.36,1.5021227592
3.38,1.5000556031999999
3.4,1.4992287407999998
3.42,1.4992287407999998
3.44,1.4992287407999998
3.46,1.4975697155999999
3.48,1.4942569656
3.5,1.4921845092000001
3.52,1.4934301032
3.54,1.4959159908
3.56,1.4967428532
3.58,1.4959159908
3.6,1.4967428532
3.62,1.4975697155999999
3.64,1.4983965779999997
3.66,1.5008824656000002
3.68,1.5021227592
3.7,1.5033683532000002
3.72,1.506267672
3.74,1.5091669908
3.76,1.5091669908
3.78,1.5099938532
3.8,1.5108207156
3.82,1.5108207156
3.84,1.5099938532
3.86,1.5066811032
3.88,1.5054355092
3.9,1.5058542408
3.92,1.506267672
3.94,1.5058542408
3.96,1.5046086467999997
3.98,1.5058542408
4.0,1.506267672
4.02,1.5033683532000002
4.04,1.5021227592
4.06,1.501709328
4.08,1.5021227592
4.1,1.5025414907999999
4.12,1.5004690344
4.14,1.4979831468
4.16,1.4963294219999999
4.18,1.4963294219999999
4.2,1.4979831468
4.22,1.4954972592
4.24,1.4938435343999998
4.26,1.4963294219999999
4.28,1.4963294219999999
4.3,1.4963294219999999
4.32,1.4954972592
4.34,1.4946703968000001
4.36,1.4946703968000001
4.38,1.4938435343999998
4.4,1.4934301032
4.42,1.4938435343999998
4.44,1.4926032408
4.46,1.489703922
4.48,1.488458328
4.5,1.489703922
4.52,1.491771078
4.54,1.4930166719999998
4.56,1.491771078
4.58,1.4905307844
4.6,1.4942569656
4.62,1.4975697155999999
4.64,1.4967428532
4.66,1.4967428532
4.68,1.4992287407999998
4.7,1.4992287407999998
4.72,1.4975697155999999
4.74,1.4967428532
